User-ID;Location;Age
2;stockton, california, usa;18.0
4;porto, v.n.gaia, portugal;17.0
6;santa monica, california, usa;61.0
10;albacete, wisconsin, spain;26.0
11;melbourne, victoria, australia;14.0
13;barcelona, barcelona, spain;26.0
18;rio de janeiro, rio de janeiro, brazil;25.0
19;weston, ,;14.0
20;langhorne, pennsylvania, usa;19.0
21;ferrol / spain, alabama, spain;46.0
24;cologne, nrw, germany;19.0
25;oakland, california, usa;55.0
27;chicago, illinois, usa;32.0
28;freiburg, baden-wuerttemberg, germany;24.0
29;cuernavaca, alabama, mexico;19.0
30;anchorage, alaska, usa;24.0
31;shanghai, n/a, china;20.0
33;costa mesa, california, usa;34.0
35;grafton, wisconsin, usa;17.0
36;montreal, quebec, canada;24.0
37;san sebastian, n/a, spain;23.0
38;viterbo, lazio, italy;34.0
40;tonawanda, new york, usa;32.0
41;santee, california, usa;14.0
42;appleton, wisconsin, usa;17.0
44;black mountain, north carolina, usa;51.0
46;heidelberg, baden-wuerttemberg, germany;31.0
47;vicenza, veneto, italy;21.0
50;london, england, united kingdom;17.0
51;renton, washington, usa;34.0
54;eubank, kentucky, usa;44.0
56;cheyenne, wyoming, usa;24.0
59;asheville, north carolina, usa;23.0
61;winfield, alabama, usa;30.0
63;nyack, new york, usa;57.0
64;lyon, rhone, france;32.0
66;warman, saskatchewan, canada;30.0
67;framingham, massachusetts, usa;43.0
70;rochester, new york, usa;44.0
71;toronto, ontario, canada;24.0
72;gloucester, england, united kingdom;34.0
74;amsterdam, n/a, netherlands;30.0
75;long beach, california, usa;37.0
78;oakland, california, usa;18.0
79;ottawa, ontario, canada;20.0
85;london, england, united kingdom;41.0
89;plano, texas, usa;54.0
90;powhatan, virginia, usa;42.0
92;castellar del valles, barcelona, spain;20.0
93;eden, wisconsin, usa;50.0
94;tehran, tehran, iraq;39.0
98;pukekohe, auckland, new zealand;19.0
99;franktown, colorado, usa;42.0
100;madrid, n/a, spain;44.0
101;nagpur, idaho, india;26.0
103;litchfield park, arizona, usa;53.0
104;foxboro, massachusetts, usa;47.0
105;hull, england, united kingdom;36.0
109;muncie, indiana, usa;20.0
111;avintes, v.n. gaia, portugal;25.0
112;mexico city, d.f., mexico;32.0
114;ligonier, pennsylvania, usa;57.0
117;ann arbor, michigan, usa;57.0
118;kronberg, hessen, ghana;28.0
119;huntington, vermont, usa;35.0
120;villeneuve d`ascq, nord, france;13.0
123;ann arbor, michigan, usa;24.0
124;papillion, nebraska, usa;58.0
125;lansing, michigan, usa;49.0
126;eindhoven, noord-brabant, netherlands;24.0
127;geneva, ge, switzerland;28.0
129;bloomington, minnesota, usa;47.0
132;silver spring, maryland, usa;38.0
133;jacksonville, florida, usa;45.0
138;santa, california, usa;28.0
139;baltimore, maryland, usa;35.0
140;kappelrodeck, baden-wuerttemberg, germany;24.0
143;san francisco, california, usa;26.0
144;cape girardeau, missouri, usa;62.0
148;essex, england, united kingdom;63.0
150;mashhad, islam, iran;25.0
152;enschede, overijssel, netherlands;26.0
153;lille, nord of france, france;24.0
156;sarajevo, n/a, bosnia and herzegovina;20.0
157;legnano, lombardia, italy;36.0
158;nufringen, baden-wuerttemberg, germany;38.0
160;almada, n/a, portugal;20.0
161;lisboa, lisboa, portugal;27.0
164;tuxtla gutierrez, chiapas, mexico;33.0
165;olympia, washington, usa;62.0
166;bacchus marsh, victoria, australia;20.0
168;sunnyvale, california, usa;44.0
171;itaí, são paulo, brazil;29.0
172;rio de janeiro, rio de janeiro, brazil;66.0
174;kandy, central, sri lanka;31.0
176;london, london, united kingdom;34.0
177;amsterdam, n/a, netherlands;46.0
178;rexford, new york, usa;28.0
182;buitenpost, fryslân, netherlands;36.0
183;porto, porto, portugal;27.0
185;baton rouge, louisiana, usa;17.0
187;mcas futenma fpo ap okinawa, n/a, usa;29.0
188;portland, oregon, usa;17.0
189;blankenberge, n/a, belgium;31.0
190;wezembeek-oppem, brussels, belgium;33.0
191;berlin, berlin, germany;40.0
193;mumbai, maharashtra, india;23.0
195;chandler, arizona, usa;23.0
196;subang jaya, selangor darul ehsan, malaysia;33.0
198;augsburg, bayern, germany;21.0
199;austin, texas, usa;38.0
200;aberdeen, scotland, united kingdom;27.0
202;ottawa, ontario, canada;28.0
204;turner, oregon, usa;15.0
205;istanbul, victoria, turkey;23.0
206;versailles, ile de france, france;60.0
209;pj, selangor, malaysia;21.0
210;albany, new york, usa;54.0
211;lleida, lleida, spain;21.0
212;manila, n/a, philippines;21.0
214;longmont, colorado, usa;27.0
215;port alberni, british columbia, canada;20.0
216;barcelona, georgia, spain;42.0
218;hyderabad, alabama, india;41.0
220;bogota, bogota, colombia;0.0
221;palm beach, florida, usa;79.0
228;ann arbor, michigan, usa;41.0
229;delhi, delhi, india;22.0
232;mumbai, maharashtra, india;16.0
234;joensuu, n/a, finland;25.0
235;oeiras, lisboa, portugal;22.0
237;plymouth, minnesota, usa;27.0
238;guildford, surrey, united kingdom;23.0
240;brisbane, queensland, australia;20.0
242;neuffen, baden-wuerttemberg, germany;37.0
245;lajolla, california, usa;31.0
246;tananger, rogaland, norway;16.0
247;zografou, athens, greece;23.0
248;chilliwack, british columbia, canada;15.0
249;amsterdam, noord-holland, netherlands;29.0
250;minneapolis, minnesota, usa;25.0
251;valladolid, castilla y león, spain;54.0
252;13001 safat, kuwait, kuwait;65.0
253;milano, lombardia, italy;28.0
254;minneapolis, minnesota, usa;24.0
255;antofagasta, alabama, chile;32.0
259;jacksonville, north carolina, usa;45.0
260;chisholm, minnesota, usa;51.0
261;lonsee, baden-wuerttemberg, germany;45.0
262;rockford, illinois, usa;28.0
264;taipei, n/a, taiwan;23.0
265;tianjin, n/a, china;24.0
267;cleveland, ohio, usa;29.0
271;karachi, pakistan, pakistan;22.0
272;walla walla, washington, usa;20.0
274;bologna, emilia romagna, italy;26.0
277;dubbo, new south wales, australia;15.0
278;chicago, illinois, usa;21.0
281;dresden, sachsen, germany;31.0
284;barcelona, barcelona, spain;35.0
286;seattle, washington, usa;17.0
288;hallowell, maine, usa;19.0
289;tampa, florida, usa;15.0
292;tucson, arizona, usa;22.0
293;winnipeg, manitoba, canada;25.0
295;lanham, maryland, usa;28.0
296;lleida, lleida, spain;21.0
297;daly city, california, usa;27.0
299;paris, paris, france;42.0
301;walled lake, michigan, usa;32.0
302;capitola, california, usa;53.0
304;kailua, hawaii, usa;24.0
307;koski, uusimaa, finland;27.0
308;getxo, yukon territory, españa;53.0
309;london, england, united kingdom;30.0
310;barcelona, n/a, spain;26.0
311;ridderkerk, n/a, netherlands;34.0
314;århus, n/a, denmark;28.0
316;kyle, saskatchewan, canada;23.0
317;tyner, north carolina, usa;41.0
319;1407 københavn k, n/a, denmark;32.0
320;minneapolis, minnesota, usa;37.0
321;liaquat pur, punjab, pakistan;24.0
323;seattle, washington, usa;23.0
328;moscow, idaho, usa;33.0
329;sanghar, sindh, pakistan;21.0
331;buenos aires, buenos aires, argentina;60.0
332;lake oswego, oregon, usa;59.0
333;barcelona, alberta, spain;23.0
334;jyväskylä, n/a, finland;27.0
335;modena, emilia romagna, italy;27.0
336;bilbao, vizcaya, spain;27.0
337;málaga, n/a, spain;17.0
339;tampere, pirkanmaa, finland;20.0
340;cebu, cebu, philippines;15.0
341;ormesson, ile de france, france;50.0
342;sokoto, niedersachsen, nigeria;28.0
344;leicester, england, united kingdom;25.0
345;columbia, tennessee, usa;27.0
346;montreal, quebec, canada;29.0
347;montreal, quebec, canada;34.0
352;windsor, connecticut, usa;28.0
353;madrid, n/a, spain;41.0
357;newcastle upon  tyne, england, united kingdom;29.0
360;barcelona, barcelona, spain;33.0
361;premià de dalt, barcelona, spain;25.0
362;thunder bay, ontario, canada;63.0
367;culver city, california, usa;45.0
368;west point, virginia, usa;35.0
372;bamberg, bayern, germany;22.0
374;braunschweig, niedersachsen, germany;45.0
375;leipzig, sachsen, germany;28.0
376;fishers, indiana, usa;35.0
378;nice, california, usa;57.0
379;vancouver, british columbia, canada;47.0
384;bucuresti, n/a, romania;23.0
386;karaj, tehran, iran;20.0
387;charity, missouri, usa;17.0
388;nashville, tennessee, usa;35.0
389;barcelona, catalunya, spain;22.0
390;chapmanville, west virginia, usa;48.0
392;barcelona, catalunya, spain;44.0
393;brighton, east sussex, united kingdom;24.0
394;lonodn, calabria, united kingdom;25.0
395;madrid, n/a, spain;24.0
397;almada, almada, portugal;50.0
399;abuja, fct abuja, nigeria;41.0
401;la plata, buenos aires, argentina;28.0
402;manchester, england, united kingdom;19.0
404;chicago, illinois, usa;37.0
406;madrid, madrid, spain;37.0
408;mountain view, california, usa;17.0
409;almada, almada, portugal;50.0
410;york, yorkshire, united kingdom;40.0
411;defiance, ohio, usa;27.0
413;naperville, illinois, usa;17.0
